"","segment","category","quantity_before","price_before","coef_price","price_elaticity","p_drop_5_percent","rev_change_d_5_percent","p_drop_10_percent","rev_change_d_10_percent","p_add_5_percent","rev_change_a_5_percent","p_add_10_percent","rev_change_a_10_percent"
"87",6,"combo",2.742,0.918,-1.606,0.538,2.816,-0.061,2.89,0.521,2.668,0.055,2.594,0.102
"88",6,"dess",1.75,0.454,-1.043,0.271,1.774,-0.029,1.797,0.708,1.726,0.028,1.703,0.056
"89",6,"drink",0.719,0.196,0,0,0,0,1,0,0,0,0,0
"90",6,"h_ent",6.386,2.014,-0.69,0.218,6.456,-0.509,6.525,-6.196,6.316,0.495,6.247,0.978
"91",6,"kids",1.771,0.446,-0.705,0.178,1.787,-0.033,1.803,0.686,1.755,0.032,1.739,0.063
"92",6,"l_ent",3.073,0.89,-0.573,0.166,3.099,-0.115,3.124,0.21,3.047,0.112,3.022,0.224
"93",6,"other",1.671,0.433,-0.89,0.231,1.69,-0.028,1.71,0.709,1.652,0.028,1.632,0.054
"94",6,"side",1.047,0.231,-1.105,0.244,1.06,-0.009,1.073,0.523,1.034,0.009,1.021,0.018
"95",6,"soupsal",2.518,0.739,-1.094,0.321,2.558,-0.065,2.599,0.585,2.478,0.062,2.437,0.12
"96",6,"steak",5.059,1.997,-0.978,0.386,5.157,-0.319,5.254,-3.494,4.961,0.3,4.864,0.582
"97",7,"alcoh",8.839,1.664,-0.771,0.145,8.903,-0.634,8.967,-10.612,8.775,0.624,8.711,1.237
"98",7,"app",5.003,1.401,-0.732,0.205,5.054,-0.283,5.106,-3.561,4.952,0.275,4.9,0.542
"99",7,"bev",2.109,0.591,-0.768,0.215,2.132,-0.049,2.154,0.208,2.086,0.048,2.064,0.095
"100",7,"brunc",0.215,0.049,0,0,0,0,1,0,0,0,0,0
"101",7,"buffe",NA,NA,0,0,0,0,1,0,0,0,0,0
"102",7,"burg",3.323,1.121,-0.658,0.222,3.36,-0.147,3.397,-0.966,3.286,0.143,3.249,0.281
"103",7,"combo",2.389,0.81,-0.145,0.049,2.395,-0.092,2.401,0.059,2.383,0.092,2.377,0.183
"104",7,"dess",1.812,0.422,-0.624,0.145,1.825,-0.033,1.838,0.274,1.799,0.032,1.786,0.064
"105",7,"drink",NA,NA,0,0,0,0,1,0,0,0,0,0
"106",7,"h_ent",5.993,1.924,-0.704,0.226,6.061,-0.452,6.128,-6.795,5.925,0.439,5.858,0.867
"107",7,"kids",1.827,0.494,-1.216,0.329,1.857,-0.031,1.887,0.313,1.797,0.03,1.767,0.058
"108",7,"l_ent",3.363,1.001,-0.64,0.19,3.395,-0.138,3.427,-0.902,3.331,0.135,3.299,0.266
"109",7,"other",1.675,0.447,-0.585,0.156,1.688,-0.032,1.701,0.352,1.662,0.031,1.649,0.062
"110",7,"side",0.975,0.302,-0.698,0.216,0.986,-0.012,0.996,0.449,0.964,0.011,0.954,0.022
"111",7,"soupsal",2.867,0.735,-0.837,0.215,2.898,-0.084,2.929,-0.298,2.836,0.081,2.805,0.161
"112",7,"steak",4.974,1.762,-0.861,0.305,5.05,-0.311,5.126,-4.427,4.898,0.298,4.822,0.582
